Name,Address,Phone
KWIK WAY - HANMER,"7 COTE BLVD, HANMER",
KWIK WAY - LASALLE,"594 LASALLE, SUDBURY",
KWIK WAY - LORNE ST,"943 LORNE ST, SUDBURY",
KWIK WAY RIVER VALLEY,"119 ON 539A, RIVER VALLEY",
LACROIX FRESHMART #64305,"275 CHEMIN DU LAC, DUBREUILVILLE",
LAKESIDE PHARMACY,"1485 BANCROFT DR, SUDBURY",
LARDER SPORTS BAIT & TACKLE,"44 GOVERNMENT RD, LARDER LAKE",
LAUNDRY MACKS,"127 MOUNTJOY RD S, TIMMINS",
LEMIEUX MEAT & GROCERY #64799,"650 HIGHWAY 64, ALBAN",
LITTLE RAPIDS GENERAL STORE,"59 LITTLE RAPIDS RD, THESSALON",
MA & PA'S ENTERPRISES,"5 WILLOW ST, WIKWEMIKONG",
MACPHERSONS GENERAL STORE,"5411 HIGHWAY 11, KENOGAMI",
MACS CONVENIENCE STORES INC.#00038,"208B MISSION ROAD, WAWA",
MACS CONVENIENCE STORES INC.#00039,"655 WELLINGTON ST. W., SAULT STE MARIE",
MACS CONVENIENCE STORES INC.#00043,"271 DACEY ROAD, SAULT STE MARIE",
MACS CONVENIENCE STORES INC.#00048,"647 SECOND LINE W., SAULT STE MARIE",
MACS CONVENIENCE STORES INC.#00057,"1230 WELLINGSTON ST. E., SAULT STE MARIE",
MACS CONVENIENCE STORES INC.#00066,"95 CHURCH ST., PARRY SOUND",
MACS CONVENIENCE STORES INC.#00071,"3 BOWES ST., PARRY SOUND",
MACS CONVENIENCE STORES INC.#00092,"4327 HAROLD ST. E., SOUTH PORCUPINE",
MACS CONVENIENCE STORES INC.#00102,"14 PAGET ST. S, NEW LISKEARD",
MACS CONVENIENCE STORES INC.#00103,"113 FRONT ST., STURGEON FALLS",
MACS CONVENIENCE STORES INC.#00368,"370 SECOND AVE . N., SUDBURY",
MACS CONVENIENCE STORES INC.#00375,"750 LASALLE BVLD W., SUDBURY",
MACS CONVENIENCE STORES INC.#00381,"2142 LASALLE BLVD, SUDBURY",
MACS CONVENIENCE STORES INC.#01011,"110 CENTRE ST., ESPANOLA",
MACS CONVENIENCE STORES INC.#01087,"1003 THE KINGSWAY, SUDBURY",
MACS CONVENIENCE STORES INC.#01249,"20 VICTORIA AVE., TIMMINS",
MACS CONVENIENCE STORES INC.#01251,"60 DWYER AVE., SCHUMACHER",
MACS CONVENIENCE STORES INC.#01277,"496 NOTRE DAME AVE., SUDBURY",
MACS CONVENIENCE STORES INC.#01300,"16 GOVERNMENT RD. E., KIRKLAND LAKE",
MACS CONVENIENCE STORES INC.#01349,"3525 HWY 144, CHELMSFORD",
MACS CONVENIENCE STORES INC.#01384,"381 MCNABB ST., SAULT STE MARIE",
MACS CONVENIENCE STORES INC.#01713,"628 THIRD LINE EAST, SAULT STE MARIE",
MACS CONVENIENCE STORES INC.#01720,"115 GOVERNMENT ROAD W., KIRKLAND LAKE",
MACS CONVENIENCE STORES INC.#01730,"565 ALGONQUIN BLVD E., TIMMINS",
MACS CONVENIENCE STORES INC.#01757,"1 RIVERSIDE DR., KAPUSKASING",
MACS CONVENIENCE STORES INC.#01785,"150 REGIONAL RD. 24, LIVELY",
MACS CONVENIENCE STORES INC.#01793,"849 SECOND LINE E., SAULT STE MARIE",
MACS CONVENIENCE STORES INC.#01803,"287 ALGONQUIN RD. W., TIMMINS",
MANITOULIN TRADING POST,"11105 HWY 6, SHEGUIANDAH",
MANITOWANING FRESHMART #23646,"146 ARTHUR ST, BOX 28, MANITOWANING",
MARKET MALL PHARMACY,"275 SECOND LINE WEST, SAULT STE MARIE",
MAYER SERVICE LTD.,"62 ST DAVID STREET, NOELVILLE",
MCCLELLANDS HARDWARE & FEED,"3 LAKE HURON ST, DESBARATS",
MCKELLAR GENERAL STORE,"1 CENTRE RD, MCKELLAR",
METALLO'S MINI MART,"147 NORTHERN AVE E, SAULT STE MARIE",
MEYER'S MUNCHIES VENDING,"237 BRUCE ST., SAULT STE MARIE",
MOBIL WAYPOINT,"58 ARMSTRONG ST. PO 1438, NEW LISKEARD",
MOXY'S BAIT & TACKLE,"905 RR 55, LIVELY",
NATURE SHOPPE - KILLBEAR PARK,"35 KILLBEAR PARK RD, NOBEL",
NESER INVESTMENTS INC,"418 HWY #129, CHAPLEAU",
NEW CONISTON PHARMACY,"35 2ND AVE, CONISTON",
NICKLE CENTRE PHARMACY,"3098 FALCONBRIDGE HWY #10, GARSON",
NOELVILLE FAMILY RESORT,"489 PREVOST RD, NOELVILLE",
NOELVILLE FOODLAND #7106,"10 NOTRE DAME W, NOELVILLE",
NORTH CENTRAL CO-OP #4383,"204 ELGIN ST, WHITE RIVER",
NORTH COBALT FLEA MARKET,"96 KING STREET, NORTH COBALT",
NORTHWEST TRADING COMPANY,"327 HWY 17 WEST, MCKERROW, ON",
OAK RIDGE PLACE,152 WIKWEMIKONG WAY,
OFF BROADWAY VIDEO,"1001 RUE FRONT, BOX 1055, HEARST",
ONAPING KWIK WAY #12222,"30 REGIONAL RD 8, ONAPING",
OOPS #7257,"92 FRONT STREET, STURGEON FALLS",
OUR PLACE,"1157 PEOPLES RD, SAULT STE MARIE",
PAQUETTES CONFECTIONARY,"383 KORAH RD, SAULT STE MARIE",
PARKSIDE SNACKS - PIONEER MANOR,"960 NORTRE DAME AVE, SUDBURY",
PETRO CANADA,"1 HORSESHOE LAKE RD, PARRY SOUND",
PETRO CANADA 35204,"731 CENTRE ST, ESPANOLA",
PHARMASAVE WEST END,"3-658 SECOND LINE WEST, SAULT STE MARIE",
PINE GROVE PLAZA,"3 MAIN STREET, CARTIER",
PIT STOP,"3245 HWY 178, ECHO BAY",
POINTE AU BARIL STATION LTD,"1675 HWY 69, POINTE AU BARIL",
POIRIER CONFECTIONARY #14191,"355 IMPERIAL ST, MASSEY",
POLAR BEAR MARKET & COOKHOUSE,"149 14TH AVE, COCHRANE",
PRINCESS AUTO #33,"891A LASALLE BLVD, SUDBURY",
PRINCESS AUTO #52,"14E-248 NORTHERN AVENUE E, SAULT STE MARIE",
PRONTO STORE 2162888 ONTARIO INC,"1 TAYLOR AVE, KIRKLAND LAKE",
QUEENS TOWN IDA,"293 BAY ST, SAULT STE MARIE",
RAILWAY PETRO CANADA,"380 WHITEWOOD AVE, NEW LISKEARD",
RAMSEY LAKE FOODMART,"410 ELGIN ST, SUDBURY",
REGENT 1 STOP,"663 REGENT ST, SUDBURY",
RIVERVIEW MARKET,"100 DESJARDINS ST, FIELD",
RIVERVIEW VARIETY,"449 RESERVE RD, SAGAMOK",
RJ'S MARKET  5053626 ONTARIO INC.,"238 WELLINGTON, SAULT STE MARIE",
ROBERTSONS DRUG STORE,"39 MEREDITH ST, GORE BAY",
ROBS VARIETY,"27 C MAPLE RIDGE RD, THESSALON",
ROYAL DISTRIBUTING INC. - SUDBURY,"3085 KINGSWAY, SUDBURY",
RX DRUG MART - IROQUOIS FALLS,"201 AMBRIDGE DRIVE, IROQUOIS FALLS",
S & N CONVENIENCE,"49 B BECKANON RD, HENVEY INLET FIRST NATIONS",
SAMS MINI MART,"59 LABELLE ST, HEARST",
SECOND HAND WORLD,"111 TANCRED ST., SAULT STE MARIE",
SHARPE FARM SUPPLY LTD - ESPANOLA,"256 CENTRE STREET, ESPANOLA",
SHARPE FARM SUPPLY LTD - SUDBURY,"434 MONTÉE PRINCIPALE, SUDBURY",
SHAWANAGA GAS & VARIETY,"1 SHEBESHEKONG ROAD (HWY 69), NOBEL",
SHELL GAS (MCDOUGALL),"266 KORAH ST, SAULT STE MARIE",
SHORT STOP (LUCIE ET NORMAND CLOUTIER),"106 BEVNETVILLE RD, KAPUSKASING",
SMALL BITES GROCERIES #52939,"1 JOHN ST, SPANISH",
SMOOTH ROCK FALLS FRESHMART #68010,"272 HIGHWAY 11, SMOOTH ROCK FALLS",
ST AMANT GENERAL STORE (TRAILER PARK),"1231 RIVERSIDE DR, BRITT",
ST CHARLES FOOD MARKET,"25 MAIN ST, ST. CHARLES",
STAPLES #010 - SUDBURY,"747 NOTRE DAME AVENUE, SUDBURY",
STAPLES #146 - KINGSWAY,"1399 MARCUS DRIVE UNIT A001, SUDBURY",
STAPLES #171 - SAULT STE-MARIE,"345 GREAT NORTHERN ROAD, SAULT STE MARIE",
STURGEON FALLS KOA,"818 LALONDE RD, STURGEON FALLS",
SWEET GREETINGS INVESTMENTS INC.,"750 GREAT NORTHERN ROAD, SAULT STE MARIE",
T&R VARIETY,"10 PARIS DR, UNIT 7, ELLIOT LAKE",
TEMAGAMI PETRO CANADA & REST./1000042548 ONT. INC,"HWY 11, TEMAGAMI",
THE CORNER STORE,"428 WESTMOUNT AVE, SUDBURY",
THE KITCHEN - ALGOMA UNIVERSITY,"1520 QUEEN ST E, SAULT STE MARIE",
THE LITTLE SMOKE SHACK,"13 RESERVE ROAD, NAUGHTON",
THE NEW MYNA,"231 DEVONSHIRE, IROQUOIS FALLS",
TIBOB GAZ,"263 KING ST, MATTICE",
TIFFANY'S TAKE OUT AND DELIVERY,"83 WENDE AVE, TIMMINS",
TOM STEWART & WIFE GENERAL STORE,"25 MAIN ST, WEBBWOOD",
TONY'S VARIETY,"426 MEAD BLVD, ESPANOLA",
TOOLTOWN,"425 TRUNK RD, SAULT STE MARIE",
TRAPPER TRADING POST,"2890 HWY 11, MARTEN RIVER",
URBAN SQUARE IDA,"197 TRUNK RD, SAULT STE MARIE",
VAL CARON KWIK WAY,"3000 HWY 69 N, VAL CARON",
VERNER FOOD TOWN,"4 PRINCIPALE ST, VERNER",
VG LAST STOP,"590 RUE PRINCIPALE, VAL GAGNE",
VICTORY & MOBIL CONVENIENCE,"2976 FALCONBRIDGE HWY, GARSON",
WANUP GENERAL STORE,"3 OLD WANUP RD, SUDBURY",
WARDLAW'S GAS (MCDOUGALL),"207 WELLINGSTON ST W, SAULT STE MARIE",
WAYPOINT #4400,"1485 LASALLE BLVD, SUDBURY",
WAYPOINT #7266,"2002-2008 BANCROFT, SUDBURY",
WHITE BIRCH GENERAL STORE,"HWY 101 WEST, TIMMINS",
WHITE BIRCH POST,"359 TAIGHWENINI TRAIL RD, CAPREOL",
WHOLESALE CLUB SAULT STE MARIE,"173 TRELAWNE AVE., SAULT STE MARIE",
WHOLESALE CLUB SUDBURY #226,"1070 WEBBWOOD DRIVE, SUDBURY",
WILSONS PHARMACY,"10 SERPENTINE ST, COPPER CLIFFE",
YOUNG'S GENERAL STORE,"105 MISSION RD, WAWA",
YOUR DOLLAR STORE WITH MORE 546,"15 EDWARD STREET, WIKWEMIKONG",
ZIPP THRU GAS BAR & CONV.,1900 B WIKWEMIKONG WAY,
