name,address,city,phone
PETRO CANADA 35204,"731 CENTRE ST, ESPANOLA",Espanola,
SHARPE FARM SUPPLY LTD - ESPANOLA,"256 CENTRE STREET, ESPANOLA",Espanola,
TONY'S VARIETY,"426 MEAD BLVD, ESPANOLA",Espanola,
GROUNDHOG CONFECTIONARY (WAS DEP BLANCHET),"27 HWY 11 W, FAUQUIER",Fauquier,
RIVERVIEW MARKET,"100 DESJARDINS ST, FIELD",Field,
FOLEYET GENERAL STORE LTD,"45 YOUNG ST, PO BOX 137, FOLEYET",Foleyet,
JEM MART,"3397 FALCONBRIDGE HWY, GARSON",Garson,
NICKLE CENTRE PHARMACY,"3098 FALCONBRIDGE HWY #10, GARSON",Garson,
VICTORY & MOBIL CONVENIENCE,"2976 FALCONBRIDGE HWY, GARSON",Garson,
J R CORNER STORE - KHUSHIRADHE INC,"41 POUPORE ST, GOGAMA",Gogama,
H & M MINI MART,"12 HWY 540 B, GORE BAY",Gore Bay,
ROBERTSONS DRUG STORE,"39 MEREDITH ST, GORE BAY",Gore Bay,
GOULAIS RIVER COUNTRY STORE 1000171184 ONTARIO INC,"2771 HWY 17 N, GOULAIS RIVER",Goulais River,
HAILEYBURY ONE STOP 2634189 ONTARIO INC.,"229 RORKE, HAILEYBURY",Haileybury,
B & B VARIETY,"4572 GATIEN AVE, HANMER",Hanmer,
BANG 4 YOUR BUCK,"5085 HWY 69 N, HANMER",Hanmer,
FORGET MINI MART,"4558 ELMVIEW DRIVE, HANMER",Hanmer,
KWIK WAY - HANMER,"7 COTE BLVD, HANMER",Hanmer,
GREAT CANADIAN DOLLAR STORE #414,"1417 FRONT STREET, HEARST",Hearst,
HEARST CORNER STORE,"733 GEORGE ST, HEARST",Hearst,
OFF BROADWAY VIDEO,"1001 RUE FRONT, BOX 1055, HEARST",Hearst,
SAMS MINI MART,"59 LABELLE ST, HEARST",Hearst,
S & N CONVENIENCE,"49 B BECKANON RD, HENVEY INLET FIRST NATIONS",Henvey Inlet First Nations,
HORNE PAYNE SERVICE CENTRE,"2001 HWY 631 N, HORNE PAYNE",Horne Payne,
G&L VARIETY (Kathleen Wood),"83 FRONT ST., HORNEPAYNE",Hornepayne,
CANCO # 725 IRON BRIDGE,"22263 HWY 17, IRON BRIDGE",Iron Bridge,
IRON BRIDGE VILLAGE GENERAL STORE (ESSO),"1100 HWY 17 E, IRON BRIDGE",Iron Bridge,
DUMONTS SERVICE STATION,"559 AMBRIDGE AVE, IROQUOIS FALLS",Iroquois Falls,
FUDDY DUDDY'S VARIETY,"375 MAIN ST, IROQUOIS FALLS",Iroquois Falls,
RX DRUG MART - IROQUOIS FALLS,"201 AMBRIDGE DRIVE, IROQUOIS FALLS",Iroquois Falls,
THE NEW MYNA,"231 DEVONSHIRE, IROQUOIS FALLS",Iroquois Falls,
BRIDAL VEIL VARIETY,"31 MAIN STREET, KAGAWONG",Kagawong,
CIRCLE CONFECTIONARY,"24 CIRCLE ST, KAPUSCASING",Kapuscasing,
FLYING J - KAPUSKASING #806,"410 GOVERNMENT RD E, KAPUSKASING",Kapuskasing,
MACS CONVENIENCE STORES INC.#01757,"1 RIVERSIDE DR., KAPUSKASING",Kapuskasing,
SHORT STOP (LUCIE ET NORMAND CLOUTIER),"106 BEVNETVILLE RD, KAPUSKASING",Kapuskasing,
MACPHERSONS GENERAL STORE,"5411 HIGHWAY 11, KENOGAMI",Kenogami,
A1 VARIETY,"80 GOVERNMENT RD, KIRKLAND LAKE",Kirkland Lake,
MACS CONVENIENCE STORES INC.#01300,"16 GOVERNMENT RD. E., KIRKLAND LAKE",Kirkland Lake,
MACS CONVENIENCE STORES INC.#01720,"115 GOVERNMENT ROAD W., KIRKLAND LAKE",Kirkland Lake,
PRONTO STORE 2162888 ONTARIO INC,"1 TAYLOR AVE, KIRKLAND LAKE",Kirkland Lake,
LARDER SPORTS BAIT & TACKLE,"44 GOVERNMENT RD, LARDER LAKE",Larder Lake,
CHEZ COURCHESNE,"10515 HWY 64, LAVIGNE",Lavigne,
GREAT CANADIAN DOLLAR STORE #440,"37 MEREDITH ST W, LITTLE CURRENT",Little Current,
MACS CONVENIENCE STORES INC.#01785,"150 REGIONAL RD. 24, LIVELY",Lively,
MOXY'S BAIT & TACKLE,"905 RR 55, LIVELY",Lively,
FINN'S GAS BAR & CONVENIENCE,"187 HWY 551, M'CHIGEENG",M'chigeeng,
MANITOWANING FRESHMART #23646,"146 ARTHUR ST, BOX 28, MANITOWANING",Manitowaning,
TRAPPER TRADING POST,"2890 HWY 11, MARTEN RIVER",Marten River,
POIRIER CONFECTIONARY #14191,"355 IMPERIAL ST, MASSEY",Massey,
A & G FRESHMART #64620,"417 5TH AVE, MATHESON",Matheson,
D & L CONFECTIONARY,"412 5TH AVE, MATHESON",Matheson,
ESSO - 1000840340 ONT INC,"430 ON-11, MATHESON",Matheson,
HOME HARDWARE - MATHESON #1091-6,"413 5TH AVE, MATHESON",Matheson,
TIBOB GAZ,"263 KING ST, MATTICE",Mattice,
MCKELLAR GENERAL STORE,"1 CENTRE RD, MCKELLAR",Mckellar,
NORTHWEST TRADING COMPANY,"327 HWY 17 WEST, MCKERROW, ON",Mckerrow,
JACKIES VARIETY,"1 LEONARD AVE, MOON BEAM",Moon Beam,
ESSO (MCDOUGALL),"220 HWY 17, NAIRN CENTRE",Nairn Centre,
JEREMY'S CONVENIENCE (MCDOUGALL),"220 HWY 17, NAIRN CENTRE",Nairn Centre,
THE LITTLE SMOKE SHACK,"13 RESERVE ROAD, NAUGHTON",Naughton,
MACS CONVENIENCE STORES INC.#00102,"14 PAGET ST. S, NEW LISKEARD",New Liskeard,
MOBIL WAYPOINT,"58 ARMSTRONG ST. PO 1438, NEW LISKEARD",New Liskeard,
RAILWAY PETRO CANADA,"380 WHITEWOOD AVE, NEW LISKEARD",New Liskeard,
GILLY'S RESTAURANT & MARINA,"138 SNUG HARBOUR RD, NOBEL",Nobel,
KILLBEAR PARK MALL,"495 HWY 559, NOBEL",Nobel,
NATURE SHOPPE - KILLBEAR PARK,"35 KILLBEAR PARK RD, NOBEL",Nobel,
SHAWANAGA GAS & VARIETY,"1 SHEBESHEKONG ROAD (HWY 69), NOBEL",Nobel,
MAYER SERVICE LTD.,"62 ST DAVID STREET, NOELVILLE",Noelville,
NOELVILLE FAMILY RESORT,"489 PREVOST RD, NOELVILLE",Noelville,
NOELVILLE FOODLAND #7106,"10 NOTRE DAME W, NOELVILLE",Noelville,
NORTH COBALT FLEA MARKET,"96 KING STREET, NORTH COBALT",North Cobalt,
COBI'S CONVENIENCE,"184 REGIONAL RD 8, ONAPING",Onaping,
ONAPING KWIK WAY #12222,"30 REGIONAL RD 8, ONAPING",Onaping,
BRADSHAWS PIONEER,"80 BOWES ST, PARRY SOUND",Parry Sound,
HOME HARDWARE - PARRY SOUND #1807-9,"31 JOSEPH ST, PARRY SOUND",Parry Sound,
MACS CONVENIENCE STORES INC.#00066,"95 CHURCH ST., PARRY SOUND",Parry Sound,
MACS CONVENIENCE STORES INC.#00071,"3 BOWES ST., PARRY SOUND",Parry Sound,
PETRO CANADA,"1 HORSESHOE LAKE RD, PARRY SOUND",Parry Sound,
JONNY K'S,"ADDRESS UNKNOWN, PIC MOBERT",Pic Mobert,
HOME HARDWARE - POINT AU BARIL,"31 SOUTH SHORE RD, POINTE AU BARIL",Pointe Au Baril,
POINTE AU BARIL STATION LTD,"1675 HWY 69, POINTE AU BARIL",Pointe Au Baril,
AIRWAYS GENERAL STORE,"2667 SECOND LINE W, PRINCE TOWNSHIP",Prince,
A & D GENERAL STORE,"364 MCINTYRE AVE, RAMORE",Ramore,
ISLAND MARKET,"1192 RICHARD ST, RICHARDS LANDING",Richards Landing,
KENTVALE HOME HARDWARE - DIRECT,"712 K LINE ROAD, RICHARDS LANDING",Richards Landing,
KWIK WAY RIVER VALLEY,"119 ON 539A, RIVER VALLEY",River Valley,
RIVERVIEW VARIETY,"449 RESERVE RD, SAGAMOK",Sagamok,
BRADY & MARY'S NO FRILLS #7949,"519 KORAH RD, SAULT STE MARIE",Sault Ste Marie,
BVD TRAVEL CENTRE (SAULT STE MARIE),"937 GREAT NORTHERN RD, SAULT STE MARIE",Sault Ste Marie,
CHIPPEWA TRADING POST,"1332 GREAT NORTHERN RD, SAULT STE MARIE",Sault Ste Marie,
CIRCLE K #878031,"442 BRUCE ST, SAULT STE MARIE",Sault Ste Marie,
CITY MEAT MARKET,"814 QUEEN ST EAST, SAULT STE MARIE",Sault Ste Marie,
EAST END PHARMASAVE,"150 CHURCHILL BLVD, SAULT STE MARIE",Sault Ste Marie,
FLYING J - SAULT STE MARIE #853,"996 GREAT NORTHERN RD, SAULT STE MARIE",Sault Ste Marie,
HOGANS HOMESTEAD,"475 AIRPORT RD, SAULT STE MARIE",Sault Ste Marie,
MACS CONVENIENCE STORES INC.#00039,"655 WELLINGTON ST. W., SAULT STE MARIE",Sault Ste Marie,
MACS CONVENIENCE STORES INC.#00043,"271 DACEY ROAD, SAULT STE MARIE",Sault Ste Marie,
MACS CONVENIENCE STORES INC.#00048,"647 SECOND LINE W., SAULT STE MARIE",Sault Ste Marie,
MACS CONVENIENCE STORES INC.#00057,"1230 WELLINGSTON ST. E., SAULT STE MARIE",Sault Ste Marie,
MACS CONVENIENCE STORES INC.#01384,"381 MCNABB ST., SAULT STE MARIE",Sault Ste Marie,
MACS CONVENIENCE STORES INC.#01713,"628 THIRD LINE EAST, SAULT STE MARIE",Sault Ste Marie,
MACS CONVENIENCE STORES INC.#01793,"849 SECOND LINE E., SAULT STE MARIE",Sault Ste Marie,
MARKET MALL PHARMACY,"275 SECOND LINE WEST, SAULT STE MARIE",Sault Ste Marie,
METALLO'S MINI MART,"147 NORTHERN AVE E, SAULT STE MARIE",Sault Ste Marie,
MEYER'S MUNCHIES VENDING,"237 BRUCE ST., SAULT STE MARIE",Sault Ste Marie,
OUR PLACE,"1157 PEOPLES RD, SAULT STE MARIE",Sault Ste Marie,
PAQUETTES CONFECTIONARY,"383 KORAH RD, SAULT STE MARIE",Sault Ste Marie,
PHARMASAVE WEST END,"3-658 SECOND LINE WEST, SAULT STE MARIE",Sault Ste Marie,
PRINCESS AUTO #52,"14E-248 NORTHERN AVENUE E, SAULT STE MARIE",Sault Ste Marie,
QUEENS TOWN IDA,"293 BAY ST, SAULT STE MARIE",Sault Ste Marie,
RJ'S MARKET  5053626 ONTARIO INC.,"238 WELLINGTON, SAULT STE MARIE",Sault Ste Marie,
SECOND HAND WORLD,"111 TANCRED ST., SAULT STE MARIE",Sault Ste Marie,
SHELL GAS (MCDOUGALL),"266 KORAH ST, SAULT STE MARIE",Sault Ste Marie,
STAPLES #171 - SAULT STE-MARIE,"345 GREAT NORTHERN ROAD, SAULT STE MARIE",Sault Ste Marie,
SWEET GREETINGS INVESTMENTS INC.,"750 GREAT NORTHERN ROAD, SAULT STE MARIE",Sault Ste Marie,
THE KITCHEN - ALGOMA UNIVERSITY,"1520 QUEEN ST E, SAULT STE MARIE",Sault Ste Marie,
TOOLTOWN,"425 TRUNK RD, SAULT STE MARIE",Sault Ste Marie,
URBAN SQUARE IDA,"197 TRUNK RD, SAULT STE MARIE",Sault Ste Marie,
WARDLAW'S GAS (MCDOUGALL),"207 WELLINGSTON ST W, SAULT STE MARIE",Sault Ste Marie,
WHOLESALE CLUB SAULT STE MARIE,"173 TRELAWNE AVE., SAULT STE MARIE",Sault Ste Marie,
MACS CONVENIENCE STORES INC.#01251,"60 DWYER AVE., SCHUMACHER",Schumacher,
MANITOULIN TRADING POST,"11105 HWY 6, SHEGUIANDAH",Sheguiandah,
SMOOTH ROCK FALLS FRESHMART #68010,"272 HIGHWAY 11, SMOOTH ROCK FALLS",Smooth Rock Falls,
MACS CONVENIENCE STORES INC.#00092,"4327 HAROLD ST. E., SOUTH PORCUPINE",South Porcupine,
GAMBLE'S HIGHWAY VARIETY,"6 ALGOMA ST, SPANISH",Spanish,
SMALL BITES GROCERIES #52939,"1 JOHN ST, SPANISH",Spanish,
BUIE'S GROCERY,"9379 HIGHWAY 542, SPRING BAY",Spring Bay,
ST CHARLES FOOD MARKET,"25 MAIN ST, ST. CHARLES",St. Charles,
DOLLAR BAZAAR - STURGEON FALLS,"214 KING ST., STURGEON FALLS",Sturgeon Falls,
DON'S BUTCHER SHOP,"172 KING ST, STURGEON FALLS",Sturgeon Falls,
GIANT TIGER #028,"42 WILLIAM STREET BOX 1030, STURGEON FALLS",Sturgeon Falls,
GRANDPA'S CONVENIENCE,"10 GIIZHIK MIIKZAN, STURGEON FALLS",Sturgeon Falls,
MACS CONVENIENCE STORES INC.#00103,"113 FRONT ST., STURGEON FALLS",Sturgeon Falls,
OOPS #7257,"92 FRONT STREET, STURGEON FALLS",Sturgeon Falls,
STURGEON FALLS KOA,"818 LALONDE RD, STURGEON FALLS",Sturgeon Falls,
CAMBRIAN KWIKWAY,"667 CAMBRIAN HEIGHTS, SUDBURY",Sudbury,
CANADIAN TIRE GAS PLUS,"2040 ALGONQUIN RD #30, SUDBURY",Sudbury,
CHURCHILL CONVENIENCE,"575 CHURCHILL AVE, SUDBURY",Sudbury,
DINO'S MILK MART,"975 LORNE ST., SUDBURY",Sudbury,
DK MART #7271136,"532 KATHLEEN ST, SUDBURY",Sudbury,
DONOVAN VARIETY,"533 KATHLEEN ST., SUDBURY",Sudbury,
ELM KWIK WAY,"324 ELM ST, SUDBURY",Sudbury,
EXTENDICARE YORK,"333 YORK ST, SUDBURY",Sudbury,
GATEWAY NEWSTANDS,"40 ELM ST. UNIT #107, SUDBURY",Sudbury,
HARI CONVENIENCE,"755 BARRY DOWNE RD., SUDBURY",Sudbury,
JEM MART - DOUGLAS,"323 DOUGLAS ST, SUDBURY",Sudbury,
KELLEY LAKE CONVENIENCE,"1851 SOUTHVIEW DRIVE, SUDBURY",Sudbury,
KWIK WAY - BANCROFT DRIVE,"1465 BANCROFT DRIVE, SUDBURY",Sudbury,
KWIK WAY - BRADY,"233 BRADY ST, SUDBURY",Sudbury,
KWIK WAY - LASALLE,"594 LASALLE, SUDBURY",Sudbury,
KWIK WAY - LORNE ST,"943 LORNE ST, SUDBURY",Sudbury,
LAKESIDE PHARMACY,"1485 BANCROFT DR, SUDBURY",Sudbury,
MACS CONVENIENCE STORES INC.#00368,"370 SECOND AVE . N., SUDBURY",Sudbury,
MACS CONVENIENCE STORES INC.#00375,"750 LASALLE BVLD W., SUDBURY",Sudbury,
MACS CONVENIENCE STORES INC.#00381,"2142 LASALLE BLVD, SUDBURY",Sudbury,
MACS CONVENIENCE STORES INC.#01087,"1003 THE KINGSWAY, SUDBURY",Sudbury,
MACS CONVENIENCE STORES INC.#01277,"496 NOTRE DAME AVE., SUDBURY",Sudbury,
PARKSIDE SNACKS - PIONEER MANOR,"960 NORTRE DAME AVE, SUDBURY",Sudbury,
PRINCESS AUTO #33,"891A LASALLE BLVD, SUDBURY",Sudbury,
RAMSEY LAKE FOODMART,"410 ELGIN ST, SUDBURY",Sudbury,
REGENT 1 STOP,"663 REGENT ST, SUDBURY",Sudbury,
ROYAL DISTRIBUTING INC. - SUDBURY,"3085 KINGSWAY, SUDBURY",Sudbury,
SHARPE FARM SUPPLY LTD - SUDBURY,"434 MONTÉE PRINCIPALE, SUDBURY",Sudbury,
STAPLES #010 - SUDBURY,"747 NOTRE DAME AVENUE, SUDBURY",Sudbury,
STAPLES #146 - KINGSWAY,"1399 MARCUS DRIVE UNIT A001, SUDBURY",Sudbury,
THE CORNER STORE,"428 WESTMOUNT AVE, SUDBURY",Sudbury,
WANUP GENERAL STORE,"3 OLD WANUP RD, SUDBURY",Sudbury,
WAYPOINT #4400,"1485 LASALLE BLVD, SUDBURY",Sudbury,
WAYPOINT #7266,"2002-2008 BANCROFT, SUDBURY",Sudbury,
WHOLESALE CLUB SUDBURY #226,"1070 WEBBWOOD DRIVE, SUDBURY",Sudbury,
TEMAGAMI PETRO CANADA & REST./1000042548 ONT. INC,"HWY 11, TEMAGAMI",Temagami,
GREAT CANADIAN DOLLAR STORE #439,"208 MAIN ST, THESSALON",Thessalon,
HOME HARDWARE - THESSALON # 1463-5,"119 MAIN ST., THESSALON",Thessalon,
JONES VALUMART #2658,"215 MAIN ST, THESSALON",Thessalon,
KRS ESSO - THESSALON (2659713 ONT),"10 LAKESIDE DR, THESSALON",Thessalon,
LITTLE RAPIDS GENERAL STORE,"59 LITTLE RAPIDS RD, THESSALON",Thessalon,
ROBS VARIETY,"27 C MAPLE RIDGE RD, THESSALON",Thessalon,
101 BUSINESS COMPLEX,"38 PINE ST N #38, TIMMINS",Timmins,
CANADIAN TIRE GAS BAR (257269 ONTARIO LTD),"2207 RIVERSIDE DRIVE, TIMMINS",Timmins,
HILLTOP CONFECTIONARY,"276 SIXTH AVE, TIMMINS",Timmins,
LAUNDRY MACKS,"127 MOUNTJOY RD S, TIMMINS",Timmins,
MACS CONVENIENCE STORES INC.#01249,"20 VICTORIA AVE., TIMMINS",Timmins,
MACS CONVENIENCE STORES INC.#01730,"565 ALGONQUIN BLVD E., TIMMINS",Timmins,
MACS CONVENIENCE STORES INC.#01803,"287 ALGONQUIN RD. W., TIMMINS",Timmins,
TIFFANY'S TAKE OUT AND DELIVERY,"83 WENDE AVE, TIMMINS",Timmins,
WHITE BIRCH GENERAL STORE,"HWY 101 WEST, TIMMINS",Timmins,
ESSO - WAYPOINT #7274,"3140-31 HWY 69 NORTH, VAL CARON",Val Caron,
VAL CARON KWIK WAY,"3000 HWY 69 N, VAL CARON",Val Caron,
VG LAST STOP,"590 RUE PRINCIPALE, VAL GAGNE",Val Gagne,
AU COIN VARIETY,"31 PRINCIPLE ST WEST, VERNER",Verner,
VERNER FOOD TOWN,"4 PRINCIPALE ST, VERNER",Verner,
CANCO # 713 WAWA,"95 MISSION ROAD, WAWA",Wawa,
MACS CONVENIENCE STORES INC.#00038,"208B MISSION ROAD, WAWA",Wawa,
YOUNG'S GENERAL STORE,"105 MISSION RD, WAWA",Wawa,
TOM STEWART & WIFE GENERAL STORE,"25 MAIN ST, WEBBWOOD",Webbwood,
A1 STOP INC.,"201 ON-17, WHITE RIVER",White River,
NORTH CENTRAL CO-OP #4383,"204 ELGIN ST, WHITE RIVER",White River,
MA & PA'S ENTERPRISES,"5 WILLOW ST, WIKWEMIKONG",Wikwemikong,
YOUR DOLLAR STORE WITH MORE 546,"15 EDWARD STREET, WIKWEMIKONG",Wikwemikong,
